,weight
"X,X,WH,WK,X,BQ,X,BQ,X,X,BH,X,X,X,X,X,WP,BKB,BQB,X,WP,X,BR,WP,X,X,X,X,BP,X,X,X,X,BK,X,X,X,BP,X,BP,X,X,WH,WP,X,X,X,X,WP,X,X,X,X,X,X,X,WR,BH,X,X,X,X,X,X",-100.0
"X,X,WH,WK,X,WQB,X,BQ,X,X,BH,X,X,X,X,X,WP,BKB,BQB,X,WP,X,BR,WP,X,X,X,X,BP,BQ,X,X,X,BK,X,X,X,BP,X,BP,X,X,WH,WP,X,X,X,X,WP,X,X,X,X,X,X,X,WR,BH,X,X,X,X,X,X",-90.9090909090909
"X,X,X,WK,X,WQB,X,BQ,X,X,BH,X,X,X,X,X,WP,BKB,BQB,WH,WP,X,BR,WP,X,X,X,X,BP,BQ,X,X,X,BK,X,X,X,BP,X,BP,X,X,WH,WP,X,X,X,X,WP,X,X,X,X,X,X,X,WR,BH,X,X,X,X,X,X",-82.64462809917354
"X,X,X,WK,X,WQB,X,BQ,X,X,BH,X,X,X,X,X,WP,BKB,BQB,WH,WP,X,BR,WP,X,X,X,X,BP,BQ,X,X,X,X,X,X,X,BP,X,BP,X,BK,WH,WP,X,X,X,X,WP,X,X,X,X,X,X,X,WR,BH,X,X,X,X,X,X",-75.13148009015777
"X,X,WK,X,X,WQB,X,BQ,X,X,BH,X,X,X,X,X,WP,BKB,BQB,WH,WP,X,BR,WP,X,X,X,X,BP,BQ,X,X,X,X,X,X,X,BP,X,BP,X,BK,WH,WP,X,X,X,X,WP,X,X,X,X,X,X,X,WR,BH,X,X,X,X,X,X",-68.30134553650706
"X,X,WK,X,X,WQB,X,BQ,X,X,BH,X,X,X,X,X,WP,BKB,BQB,WH,WP,X,X,WP,X,X,X,X,BP,BQ,X,X,X,X,X,X,X,BP,X,BP,X,BK,WH,WP,X,X,X,X,WP,X,X,X,X,X,X,X,WR,BH,X,X,X,X,BR,X",-62.0921323059155
"X,X,WK,X,X,WQB,X,BQ,X,X,BH,X,X,X,X,X,WP,BKB,BQB,X,WP,X,X,WP,X,X,X,X,BP,BQ,X,X,X,X,WH,X,X,BP,X,BP,X,BK,WH,WP,X,X,X,X,WP,X,X,X,X,X,X,X,WR,BH,X,X,X,X,BR,X",-56.44739300537772
"X,X,WK,X,X,WQB,X,WR,X,X,BH,X,X,X,BP,X,WP,BKB,BQB,X,WP,X,X,WP,X,X,X,X,BP,BQ,X,X,X,X,WH,X,X,BP,X,BP,X,BK,WH,WP,X,X,X,X,WP,X,X,X,X,X,X,X,WR,BH,X,X,X,X,BR,X",-51.31581182307065
"X,X,WK,X,X,WQB,X,WR,X,X,BH,X,X,X,BP,X,WP,BKB,BQB,X,WP,X,X,WP,X,X,X,X,BP,BQ,X,X,X,X,WH,X,X,BP,X,BP,X,BK,X,WP,X,X,X,X,WP,X,X,X,WH,X,X,X,WR,BH,X,X,X,X,BR,X",-46.65073802097331
"X,X,WK,X,X,WQB,X,WR,X,X,BH,X,X,X,BP,X,WP,BKB,BQB,X,WP,X,X,WP,X,X,X,X,BP,X,X,BQ,X,X,WH,X,X,BP,X,BP,X,BK,X,WP,X,X,X,X,WP,X,X,X,WH,X,X,X,WR,BH,X,X,X,X,BR,X",-42.40976183724847
"X,X,WK,X,X,WQB,X,WR,X,X,BH,X,X,X,BP,X,WP,BKB,BQB,X,WP,X,X,WP,X,X,X,X,BP,X,X,BQ,X,X,WH,X,X,BP,X,BP,X,BK,X,WP,X,X,WH,X,WP,X,X,X,X,X,X,X,WR,BH,X,X,X,X,BR,X",-38.55432894295315
"X,X,WK,X,X,WQB,X,WR,X,X,BH,X,X,X,BP,X,WP,BKB,BQB,X,WP,X,X,WP,X,X,X,X,BP,X,X,X,X,X,WH,X,X,BP,X,BP,X,BK,X,WP,X,X,WH,X,WP,X,X,X,BQ,X,X,X,WR,BH,X,X,X,X,BR,X",-35.04938994813922
"X,X,WK,X,X,WQB,X,WR,X,X,BH,X,X,X,BP,X,WP,BKB,BQB,WH,WP,X,X,WP,X,X,X,X,BP,X,X,X,X,X,X,X,X,BP,X,BP,X,BK,X,WP,X,X,WH,X,WP,X,X,X,BQ,X,X,X,WR,BH,X,X,X,X,BR,X",-31.86308177103565
"BQB,X,WK,X,X,WQB,X,WR,X,X,BH,X,X,X,BP,X,WP,BKB,X,WH,WP,X,X,WP,X,X,X,X,BP,X,X,X,X,X,X,X,X,BP,X,BP,X,BK,X,WP,X,X,WH,X,WP,X,X,X,BQ,X,X,X,WR,BH,X,X,X,X,BR,X",-28.96643797366877
