,weight
"WR,X,WKB,X,X,X,X,X,WH,X,X,WP,X,X,X,X,X,WP,X,BKB,WP,X,X,X,BP,X,WQB,WK,BP,WQ,X,WR,WP,X,BQ,BH,X,BP,WP,WP,X,X,X,BQB,X,X,X,BP,X,X,X,X,X,X,BP,X,BR,X,X,BK,X,X,BR,X",-100.0
"WR,X,WKB,X,X,X,X,X,WH,X,X,WP,X,X,X,X,X,WP,X,BKB,WP,X,X,X,BP,X,WQB,WK,BP,WQ,X,WR,WP,X,X,BH,X,BP,WP,WP,X,X,X,BQB,X,X,X,BP,X,X,BQ,X,X,X,BP,X,BR,X,X,BK,X,X,BR,X",-90.9090909090909
"WR,X,WKB,X,X,X,X,X,WH,X,X,WP,X,X,X,X,X,WP,X,BKB,WP,X,X,X,BP,X,WQB,WK,BP,WP,WQ,WR,WP,X,X,BH,X,BP,WP,WP,X,X,X,BQB,X,X,X,BP,X,X,BQ,X,X,X,BP,X,BR,X,X,BK,X,X,BR,X",-82.64462809917354
"WR,X,WKB,X,X,BKB,X,X,WH,X,X,WP,X,X,X,X,X,WP,X,X,WP,X,X,X,BP,X,WQB,WK,BP,WP,WQ,WR,WP,X,X,BH,X,BP,WP,WP,X,X,X,BQB,X,X,X,BP,X,X,BQ,X,X,X,BP,X,BR,X,X,BK,X,X,BR,X",-75.13148009015777
"WR,X,WKB,X,X,BKB,X,X,WH,X,X,WP,WQ,X,X,X,X,WP,X,X,WP,X,X,X,BP,X,WQB,WK,BP,WP,X,WR,WP,X,X,BH,X,BP,WP,WP,X,X,X,BQB,X,X,X,BP,X,X,BQ,X,X,X,BP,X,BR,X,X,BK,X,X,BR,X",-68.30134553650706
"WR,X,WKB,X,X,BKB,X,X,WH,X,X,WP,WQ,X,X,X,X,WP,X,X,WP,X,X,X,BP,X,WQB,WK,BP,WP,X,WR,WP,X,X,BH,X,BP,WP,WP,X,X,BQ,BQB,X,X,X,BP,X,X,BP,X,X,X,BP,X,BR,X,X,BK,X,X,BR,X",-62.0921323059155
"WR,X,WKB,X,X,BKB,X,X,WH,WP,X,WP,WQ,X,X,X,X,X,X,X,WP,X,X,X,BP,X,WQB,WK,BP,WP,X,WR,WP,X,X,BH,X,BP,WP,WP,X,X,BQ,BQB,X,X,X,BP,X,X,BP,X,X,X,BP,X,BR,X,X,BK,X,X,BR,X",-56.44739300537772
"WR,X,WKB,X,X,BKB,X,X,WH,WP,X,WP,WQ,X,X,X,X,X,X,X,WP,X,X,X,BP,X,WQB,WK,BP,WP,X,WR,WP,X,X,WP,X,BP,WP,WP,X,BH,BQ,BQB,X,X,X,BP,X,X,BP,X,X,X,BP,X,BR,X,X,BK,X,X,BR,X",-51.31581182307065
"WR,X,WKB,X,X,BKB,X,X,WH,WP,X,WP,WQ,X,X,X,X,X,X,X,WP,X,X,X,BP,WP,WQB,WK,BP,WP,X,WR,BH,X,X,WP,X,BP,WP,WP,X,BH,BQ,BQB,X,X,X,BP,X,X,BP,X,X,X,BP,X,BR,X,X,BK,X,X,BR,X",-46.650738020973314
"WR,X,WKB,X,X,BKB,X,X,WH,WP,X,WP,WQ,X,X,X,X,X,X,X,WP,X,X,X,BP,WP,WQB,WK,BP,WP,X,WR,BH,X,X,WP,X,BP,WP,WP,X,BH,BQ,BQB,X,X,X,BP,X,X,BP,X,X,X,BP,X,BR,X,X,BK,X,X,X,BR",-42.40976183724847
"WR,X,WKB,WQ,X,BKB,X,X,WH,WP,X,WP,X,X,X,X,X,X,X,X,WP,X,X,X,BP,WP,WQB,WK,BP,WP,X,WR,BH,X,X,WP,X,BP,WP,WP,X,BH,BQ,BQB,X,X,X,BP,X,X,BP,X,X,X,BP,X,BR,X,X,BK,X,X,X,BR",-38.55432894295315
"WR,X,WKB,WQ,X,BKB,X,X,WH,WP,X,WP,X,X,X,X,X,X,X,X,WP,X,X,X,BP,WP,WQB,WK,BP,WP,X,WR,X,X,X,WP,X,BP,WP,WP,X,BH,BQ,BQB,X,X,X,BP,X,BH,BP,X,X,X,BP,X,BR,X,X,BK,X,X,X,BR",-35.04938994813922
"WR,X,WKB,X,X,BKB,X,X,WH,WP,X,WP,X,X,X,X,X,X,X,X,WP,X,X,X,BP,WP,WQB,WK,BP,WP,WQ,WR,X,X,X,WP,X,BP,WP,WP,X,BH,BQ,BQB,X,X,X,BP,X,BH,BP,X,X,X,BP,X,BR,X,X,BK,X,X,X,BR",-31.863081771035652
"WR,X,WKB,X,X,BKB,X,X,WH,WP,X,WP,X,X,X,X,X,X,X,X,WP,X,X,X,BP,WP,WQB,WK,BP,WP,WQ,WR,X,X,X,WP,X,BP,WP,WP,X,BH,BQ,X,X,X,X,BP,X,BH,BP,X,X,X,BP,X,BR,X,X,BK,X,BQB,X,BR",-28.96643797366877
"WR,X,WKB,WQ,X,BKB,X,X,WH,WP,X,WP,X,X,X,X,X,X,X,X,WP,X,X,X,BP,WP,WQB,WK,BP,WP,X,WR,X,X,X,WP,X,BP,WP,WP,X,BH,BQ,X,X,X,X,BP,X,BH,BP,X,X,X,BP,X,BR,X,X,BK,X,BQB,X,BR",-26.33312543060797
"WR,X,WKB,WQ,X,BKB,X,X,WH,WP,X,WP,X,X,X,X,X,X,X,X,WP,X,X,X,BP,WP,WQB,WK,BP,WP,X,WR,X,X,X,WP,X,BP,WP,WP,X,BH,BQ,X,X,X,X,BP,X,BH,BP,X,X,X,BP,X,X,X,BR,BK,X,BQB,X,BR",-23.939204936916337
"WR,X,WKB,X,X,BKB,X,X,WH,WP,X,WP,WQ,X,X,X,X,X,X,X,WP,X,X,X,BP,WP,WQB,WK,BP,WP,X,WR,X,X,X,WP,X,BP,WP,WP,X,BH,BQ,X,X,X,X,BP,X,BH,BP,X,X,X,BP,X,X,X,BR,BK,X,BQB,X,BR",-21.76291357901485
"WR,X,WKB,X,X,BKB,X,X,WH,WP,X,WP,WQ,X,X,X,X,X,X,X,WP,X,X,X,BP,WP,WQB,WK,BP,WP,X,WR,X,X,X,WP,X,BP,WP,WP,X,BH,BQ,X,X,X,X,BP,X,BH,BP,X,X,X,BP,X,BR,X,X,BK,X,BQB,X,BR",-19.784466890013498
"WR,X,WKB,X,X,BKB,X,X,WH,WP,X,WP,WQ,X,X,X,WP,X,X,X,WP,X,X,X,BP,BP,WQB,WK,BP,WP,X,WR,X,X,X,WP,X,BP,WP,WP,X,BH,BQ,X,X,X,X,BP,X,BH,BP,X,X,X,BP,X,BR,X,X,BK,X,BQB,X,BR",-17.98587899092136
"WR,X,WKB,X,X,BKB,X,X,WH,WP,X,WP,WQ,X,X,X,WP,X,X,X,WP,X,X,X,X,BP,WQB,WK,BP,WP,X,WR,BP,X,X,WP,X,BP,WP,WP,X,BH,BQ,X,X,X,X,BP,X,BH,BP,X,X,X,BP,X,BR,X,X,BK,X,BQB,X,BR",-16.35079908265578
"WR,X,WKB,X,X,BKB,X,X,WH,WP,X,WP,WQ,WP,X,X,WP,X,X,X,WP,X,X,X,X,BP,WQB,WK,BP,X,X,WR,BP,X,X,WP,X,BP,WP,WP,X,BH,BQ,X,X,X,X,BP,X,BH,BP,X,X,X,BP,X,BR,X,X,BK,X,BQB,X,BR",-14.864362802414345
