,weight
"X,X,BQ,X,X,X,X,X,X,X,X,X,WP,X,X,X,X,X,WK,X,BP,X,X,BH,X,BH,X,BR,X,X,X,X,X,X,BP,X,X,X,X,X,WP,WR,X,X,BKB,X,BK,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X",-100.0
"X,X,X,X,X,X,X,X,X,X,BP,X,WP,X,X,X,X,X,WK,X,BP,X,X,BH,X,BH,X,BR,X,X,X,X,X,X,BP,X,X,X,X,X,WP,WR,X,X,BKB,X,BK,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X",-90.9090909090909
"X,X,X,X,X,X,X,X,X,X,BP,X,WP,X,X,X,X,X,WK,X,BP,X,X,BH,X,BH,X,BR,X,X,X,X,WP,X,BP,X,X,X,X,X,X,WR,X,X,BKB,X,BK,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X",-82.64462809917354
"X,X,X,X,X,X,X,X,X,X,BP,X,WP,X,X,X,X,X,WK,X,BP,X,X,BH,X,X,X,BR,X,X,X,X,WP,X,BP,X,X,X,X,X,X,WR,BH,X,BKB,X,BK,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X",-75.13148009015777
"X,X,X,X,X,X,X,X,X,X,BP,X,WP,X,X,X,X,X,WK,X,BP,X,X,BH,X,X,X,BR,X,X,X,X,WP,X,BP,X,X,X,X,X,WR,X,BH,X,BKB,X,BK,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X",-68.30134553650706
"X,X,X,X,X,X,X,X,X,X,BP,X,WP,X,X,X,X,X,WK,X,BP,X,X,BH,X,X,X,BR,X,X,X,X,WP,X,BP,X,X,X,X,X,WR,X,X,X,BKB,X,BK,X,BH,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X",-62.0921323059155
"X,X,X,X,X,X,X,X,X,WK,BP,X,WP,X,X,X,X,X,X,X,BP,X,X,BH,X,X,X,BR,X,X,X,X,WP,X,BP,X,X,X,X,X,WR,X,X,X,BKB,X,BK,X,BH,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X",-56.44739300537772
"X,X,X,X,X,X,X,X,X,WK,BP,X,WP,X,X,X,X,X,X,X,BP,X,X,BH,X,X,BR,X,X,X,X,X,WP,X,BP,X,X,X,X,X,WR,X,X,X,BKB,X,BK,X,BH,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X",-51.31581182307065
"X,X,X,X,X,X,X,X,X,WK,BP,X,WP,X,X,X,X,X,X,X,BP,X,X,BH,X,X,BR,X,X,X,X,X,WP,X,BP,X,X,X,X,X,BP,X,WR,X,BKB,X,BK,X,BH,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X",-46.650738020973314
"X,X,X,X,X,X,X,X,X,WK,BP,X,WP,X,X,X,X,X,X,X,BP,X,X,BH,X,X,BR,X,X,X,BKB,X,WP,X,BP,X,X,X,X,X,BP,X,WR,X,X,X,BK,X,BH,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X",-42.40976183724847
"X,X,X,X,X,X,X,X,X,WK,BP,X,WP,X,X,X,X,X,X,X,BP,X,X,BH,X,X,BR,X,X,X,BKB,X,WP,X,BP,X,X,X,X,X,BP,X,X,X,X,X,BK,X,BH,X,X,X,X,X,X,X,X,X,WR,X,X,X,X,X",-38.55432894295315
"X,X,X,X,X,X,X,X,X,WK,BP,X,WP,X,X,X,X,X,X,X,BP,X,X,BH,X,X,BR,X,X,X,X,X,WP,X,BP,X,X,X,X,X,BP,X,X,X,X,X,BK,X,BH,X,X,BKB,X,X,X,X,X,X,WR,X,X,X,X,X",-35.04938994813922
"X,X,X,X,X,X,X,X,X,X,BP,X,WP,X,X,X,WK,X,X,X,BP,X,X,BH,X,X,BR,X,X,X,X,X,WP,X,BP,X,X,X,X,X,BP,X,X,X,X,X,BK,X,BH,X,X,BKB,X,X,X,X,X,X,WR,X,X,X,X,X",-31.863081771035652
"X,X,X,X,X,X,X,X,X,X,BP,X,WP,X,X,X,WK,X,X,X,BP,X,X,BH,X,BR,X,X,X,X,X,X,WP,X,BP,X,X,X,X,X,BP,X,X,X,X,X,BK,X,BH,X,X,BKB,X,X,X,X,X,X,WR,X,X,X,X,X",-28.96643797366877
"X,X,X,X,X,X,X,X,X,X,BP,X,WP,X,X,X,WK,X,X,X,BP,X,X,BH,X,BR,X,X,X,X,X,X,WP,X,BP,X,X,X,X,X,BP,X,X,X,X,X,BK,X,BH,X,X,BKB,X,X,X,X,X,X,X,X,X,X,X,WR",-26.33312543060797
"X,X,X,X,X,X,X,X,X,X,BP,X,WP,X,X,X,WK,X,X,X,BP,X,X,BH,X,BR,X,X,X,X,X,X,WP,X,BP,X,X,BKB,X,X,BP,X,X,X,X,X,BK,X,BH,X,X,X,X,X,X,X,X,X,X,X,X,X,X,WR",-23.939204936916337
"X,X,X,X,X,X,X,X,X,X,BP,X,WP,X,X,X,WK,X,X,X,BP,X,X,BH,X,BR,X,X,X,X,X,X,WP,X,BP,X,X,BKB,X,X,BP,X,X,X,X,X,BK,X,BH,X,X,X,X,X,X,WP,X,X,X,X,X,X,X,X",-21.76291357901485
"X,X,X,X,X,X,X,X,X,X,BP,X,WP,X,X,X,WK,X,X,X,BP,X,X,BH,X,BR,X,X,X,X,X,X,WP,X,BP,X,X,BKB,X,X,BP,X,X,X,X,X,X,X,BH,X,X,X,X,BK,X,WP,X,X,X,X,X,X,X,X",-19.784466890013498
"X,X,X,X,X,X,X,X,X,X,BP,X,WP,X,X,X,WK,X,X,X,BP,X,X,BH,X,BR,X,X,X,X,X,X,WP,X,BP,X,X,BKB,X,X,BP,X,X,X,X,X,X,WP,BH,X,X,X,X,BK,X,X,X,X,X,X,X,X,X,X",-17.98587899092136
